"Source:","C:\Users\teren\source\repos\SDisk2\PCB\SDisk2_REV\SDisk2_REV.kicad_sch"
"Date:","27/1/2022 11:02:35 am"
"Tool:","Eeschema (6.0.1)"
"Generator:","D:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","26"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","1nF","Device:C_Small","Capacitor_THT:C_Disc_D9.0mm_W2.5mm_P5.00mm","~"
"","","C2","100uF","Device:C_Polarized_Small","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","~"
"","","C3","1nF","Device:C_Small","Capacitor_THT:C_Disc_D9.0mm_W2.5mm_P5.00mm","~"
"","","C4","1nF","Device:C_Small","Capacitor_THT:C_Disc_D9.0mm_W2.5mm_P5.00mm","~"
"","","C5","100uF","Device:C_Polarized_Small","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","~"
"","","D1","LED","Device:LED","LED_THT:LED_D3.0mm","~"
"","","DS1","WC1602A","Display_Character:WC1602A","Display:WC1602A","http://www.wincomlcd.com/pdf/WC1602A-SFYLYHTC06.pdf"
"","","J1","APPLE// Disk","Connector_Generic:Conn_02x10_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Horizontal","~"
"","","J2","SD_Card","Connector:SD_Card","Connector_Card:SD_Kyocera_145638009211859+","http://portal.fciconnect.com/Comergent//fci/drawing/10067847.pdf"
"","","R1","100K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R2","330","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R3","10K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R4","100K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R5","1K5","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R6","10K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R7","10K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
